annotator	bunch	filename	mark	label	offset1	offset2	span
y	20	es-S1698-69462006000400005-1.ann	T37	MORFOLOGIA_NEOPLASIA	1492	1508	carcinoma ductal
y	20	es-S1698-69462006000400005-1.ann	T40	MORFOLOGIA_NEOPLASIA	1100	1109	carcinoma
y	20	es-S1698-69462006000400005-1.ann	T41	MORFOLOGIA_NEOPLASIA	1492	1501	carcinoma
y	20	es-S1698-69462006000400005-1.ann	T42	MORFOLOGIA_NEOPLASIA	2925	2934	carcinoma
y	20	es-S1699-695X2014000200012-1.ann	T1	MORFOLOGIA_NEOPLASIA	1869	1885	tumor de Warthin
y	20	es-S1699-695X2014000200012-1.ann	T2	MORFOLOGIA_NEOPLASIA	1723	1739	tumor de Warthin
y	20	es-S1699-695X2014000200012-1.ann	T3	MORFOLOGIA_NEOPLASIA	1370	1386	tumor de Warthin
y	20	es-S1699-695X2014000200012-1.ann	T4	MORFOLOGIA_NEOPLASIA	1261	1277	tumor de Warthin
y	20	es-S1889-836X2015000200005-2.ann	T8	MORFOLOGIA_NEOPLASIA	133	139	miomas
y	20	es-S1887-85712016000100005-1.ann	T8	MORFOLOGIA_NEOPLASIA	112	121	carcinoma
y	20	es-S1699-695X2015000100011-1.ann	T6	MORFOLOGIA_NEOPLASIA	4016	4024	teratoma
y	20	es-S2254-28842013000300009-1.ann	T27	MORFOLOGIA_NEOPLASIA	299	309	adenomioma
y	20	es-S1699-695X2016000200013-1.ann	T1	MORFOLOGIA_NEOPLASIA	2614	2622	seminoma
y	20	es-S1699-695X2016000200013-1.ann	T5	MORFOLOGIA_NEOPLASIA	1933	1947	tumor germinal
y	20	es-S1699-695X2016000200013-1.ann	T6	MORFOLOGIA_NEOPLASIA	1790	1798	Seminoma
y	20	es-S1699-695X2016000200013-1.ann	T33	MORFOLOGIA_NEOPLASIA	1675	1685	neoplásico
y	20	es-S1698-44472005000400012-1.ann	T4	MORFOLOGIA_NEOPLASIA	862	867	tumor
y	20	es-S2340-98942015000100005-1.ann	T6	MORFOLOGIA_NEOPLASIA	648	659	metastásica
y	20	es-S2340-98942015000100005-1.ann	T8	MORFOLOGIA_NEOPLASIA	94	118	carcinoma seroso papilar
y	20	es-S2340-98942015000100005-1.ann	T13	MORFOLOGIA_NEOPLASIA	94	103	carcinoma
y	2	es-S0004-06142009000100010-2.ann	T1	MORFOLOGIA_NEOPLASIA	1419	1426	nefroma
y	2	es-S0004-06142009000100010-2.ann	T2	MORFOLOGIA_NEOPLASIA	1451	1488	carcinoma de células renales quístico
y	2	es-S0004-06142009000100010-2.ann	T3	MORFOLOGIA_NEOPLASIA	1451	1479	carcinoma de células renales
y	2	es-S0004-06142009000100010-2.ann	T4	MORFOLOGIA_NEOPLASIA	1419	1448	nefroma quístico multinodular
y	2	es-S0004-06142009000100010-2.ann	T21	MORFOLOGIA_NEOPLASIA	1451	1478	carcinoma de células renale
y	2	es-S0004-06142009000100010-2.ann	T31	MORFOLOGIA_NEOPLASIA	2055	2060	tumor
y	2	es-S0004-06142009000800010-1.ann	T4	MORFOLOGIA_NEOPLASIA	647	692	carcinoma urotelial indiferenciado infitrante
y	2	es-S0004-06142009000800010-1.ann	T9	MORFOLOGIA_NEOPLASIA	647	666	carcinoma urotelial
y	2	es-S0004-06142009000800010-1.ann	T30	MORFOLOGIA_NEOPLASIA	1368	1387	carcinoma urotelial
y	2	es-S0004-06142009000800010-1.ann	T31	MORFOLOGIA_NEOPLASIA	2432	2475	células metastásicas de carcinoma urotelial
y	2	es-S0004-06142009000800010-1.ann	T34	MORFOLOGIA_NEOPLASIA	1096	1115	carcinoma urotelial
y	2	es-S0004-06142009000800010-1.ann	T37	MORFOLOGIA_NEOPLASIA	2456	2475	carcinoma urotelial
y	2	es-S0004-06142009000800010-1.ann	T44	MORFOLOGIA_NEOPLASIA	647	656	carcinoma
y	2	es-S0004-06142009000800010-1.ann	T45	MORFOLOGIA_NEOPLASIA	1096	1105	carcinoma
y	2	es-S0004-06142009000800010-1.ann	T46	MORFOLOGIA_NEOPLASIA	1225	1230	tumor
y	2	es-S0004-06142009000800010-1.ann	T47	MORFOLOGIA_NEOPLASIA	1368	1377	carcinoma
y	2	es-S0004-06142009000800010-1.ann	T48	MORFOLOGIA_NEOPLASIA	2456	2465	carcinoma
y	2	es-S0004-06142008000700014-1.ann	T21	MORFOLOGIA_NEOPLASIA	2621	2656	tumor de células de Sertoli maligno
y	2	es-S0004-06142008000700014-1.ann	T23	MORFOLOGIA_NEOPLASIA	2621	2626	tumor
y	2	es-S0004-06142009000100010-1.ann	T14	MORFOLOGIA_NEOPLASIA	1459	1480	nefroma meso-blástico
y	2	es-S0004-06142009000100010-1.ann	T21	MORFOLOGIA_NEOPLASIA	1303	1317	tumor de Wilms
y	2	es-S0004-06142009000100010-1.ann	T23	MORFOLOGIA_NEOPLASIA	1320	1335	adeno-carcinoma
y	2	es-S0004-06142009000100010-1.ann	T35	MORFOLOGIA_NEOPLASIA	1303	1308	tumor
y	2	es-S0004-06142009000100010-1.ann	T36	MORFOLOGIA_NEOPLASIA	1326	1335	carcinoma
y	2	es-S0004-06142007000900011-1.ann	T1	MORFOLOGIA_NEOPLASIA	1594	1608	feocromocitoma
y	2	es-S0004-06142009000100010-3.ann	T13	MORFOLOGIA_NEOPLASIA	1177	1198	nefroma multiquístico
y	2	es-S0004-06142009000100010-3.ann	T18	MORFOLOGIA_NEOPLASIA	1177	1184	nefroma
y	2	es-S0004-06142007000700014-1.ann	T1	MORFOLOGIA_NEOPLASIA	679	686	sarcoma
y	2	es-S0004-06142007000700014-1.ann	T2	MORFOLOGIA_NEOPLASIA	679	698	sarcoma pleomórfico
y	2	es-S0004-06142007000700014-1.ann	T5	MORFOLOGIA_NEOPLASIA	551	560	neoplasia
y	2	es-S0004-06142007000700015-1.ann	T9	MORFOLOGIA_NEOPLASIA	997	1008	linfangioma
y	2	es-S0004-06142008000400010-1.ann	T3	MORFOLOGIA_NEOPLASIA	2096	2110	adenocarcinoma
y	2	es-S0004-06142008000400010-1.ann	T7	MORFOLOGIA_NEOPLASIA	2003	2009	cáncer
y	2	es-S0004-06142008000400010-1.ann	T13	MORFOLOGIA_NEOPLASIA	1575	1603	metástasis de adenocarcinoma
y	2	es-S0004-06142008000400010-1.ann	T15	MORFOLOGIA_NEOPLASIA	1589	1603	adenocarcinoma
y	2	es-S0004-06142008000400010-1.ann	T27	MORFOLOGIA_NEOPLASIA	1111	1121	meningioma
y	2	es-S0004-06142008000400010-1.ann	T32	MORFOLOGIA_NEOPLASIA	3291	3305	adenocarcinoma
y	2	es-S0004-06142008000400010-1.ann	T37	MORFOLOGIA_NEOPLASIA	2533	2547	Adenocarcinoma
y	2	es-S0004-06142008000100008-1.ann	T10	MORFOLOGIA_NEOPLASIA	2053	2088	tumor miofibroblástico inflamatorio
y	2	es-S0004-06142007000900017-1.ann	T14	MORFOLOGIA_NEOPLASIA	499	509	metástasis
y	2	es-S0004-06142007000900017-1.ann	T21	MORFOLOGIA_NEOPLASIA	2504	2518	adenocarcinoma
y	2	es-S0004-06142007000900017-1.ann	T22	MORFOLOGIA_NEOPLASIA	2490	2518	metástasis de adenocarcinoma
y	2	es-S0004-06142007000900017-1.ann	T24	MORFOLOGIA_NEOPLASIA	333	347	adenocarcinoma
y	2	es-S0004-06142008000600013-1.ann	T2	MORFOLOGIA_NEOPLASIA	838	847	carcinoma
y	2	es-S0004-06142009000200013-1.ann	T13	MORFOLOGIA_NEOPLASIA	1511	1524	mullerianosis
y	2	es-S0004-06142007000900014-1.ann	T4	MORFOLOGIA_NEOPLASIA	997	1007	metástasis
y	2	es-S0004-06142007000900014-1.ann	T19	MORFOLOGIA_NEOPLASIA	2862	2876	LEIOMIOSARCOMA
y	2	es-S0004-06142007000600016-2.ann	T4	MORFOLOGIA_NEOPLASIA	436	454	tumor adenomatoide
y	2	es-S0004-06142007000600016-2.ann	T9	MORFOLOGIA_NEOPLASIA	1136	1154	tumor adenomatoide
y	2	es-S0004-06142007000600016-2.ann	T16	MORFOLOGIA_NEOPLASIA	436	441	tumor
y	2	es-S0004-06142007000600016-2.ann	T17	MORFOLOGIA_NEOPLASIA	1136	1141	tumor
y	2	es-S0004-06142009000200008-1.ann	T3	MORFOLOGIA_NEOPLASIA	599	609	metástasis
y	2	es-S0004-06142009000200008-1.ann	T5	MORFOLOGIA_NEOPLASIA	1158	1163	tumor
y	2	es-S0004-06142009000200008-1.ann	T15	MORFOLOGIA_NEOPLASIA	1599	1608	carcinoma
y	2	es-S0004-06142009000100012-1.ann	T6	MORFOLOGIA_NEOPLASIA	178	192	adenocarcinoma
y	2	es-S0004-06142009000100012-1.ann	T10	MORFOLOGIA_NEOPLASIA	2549	2559	metástasis
y	2	es-S0004-06142009000100012-1.ann	T19	MORFOLOGIA_NEOPLASIA	1844	1858	leiomiosarcoma
y	2	es-S0004-06142009000100012-1.ann	T21	MORFOLOGIA_NEOPLASIA	2125	2139	leiomiosarcoma
y	2	es-S0004-06142009000100012-1.ann	T24	MORFOLOGIA_NEOPLASIA	1013	1027	leiomiosarcoma
y	2	es-S0004-06142009000100012-1.ann	T25	MORFOLOGIA_NEOPLASIA	1383	1397	leiomiosarcoma
y	2	es-S0004-06142008000700011-1.ann	T6	MORFOLOGIA_NEOPLASIA	986	1001	tumor fusiforme
y	2	es-S0004-06142008000700011-1.ann	T8	MORFOLOGIA_NEOPLASIA	709	724	tumor fusiforme
y	2	es-S0004-06142008000700011-1.ann	T10	MORFOLOGIA_NEOPLASIA	709	714	tumor
y	2	es-S0004-06142008000700011-1.ann	T11	MORFOLOGIA_NEOPLASIA	986	991	tumor
y	2	es-S0004-06142009000900011-1.ann	T2	MORFOLOGIA_NEOPLASIA	1411	1430	pseudopilomatrixoma
y	2	es-S0004-06142009000900011-1.ann	T4	MORFOLOGIA_NEOPLASIA	1373	1388	teratoma maduro
y	2	es-S0004-06142009000900011-1.ann	T5	MORFOLOGIA_NEOPLASIA	1345	1360	quiste dermoide
y	2	es-S0004-06142009000900011-1.ann	T7	MORFOLOGIA_NEOPLASIA	1061	1066	tumor
y	2	es-S0004-06142009000900011-1.ann	T11	MORFOLOGIA_NEOPLASIA	392	401	neoplasia
y	2	es-S0004-06142009000900011-1.ann	T12	MORFOLOGIA_NEOPLASIA	468	473	tumor
y	2	es-S0004-06142009000400011-1.ann	T11	MORFOLOGIA_NEOPLASIA	2286	2300	leiomiosarcoma
y	2	es-S0004-06142009000400011-1.ann	T12	MORFOLOGIA_NEOPLASIA	2020	2025	tumor
y	2	es-S0004-06142009000400011-1.ann	T13	MORFOLOGIA_NEOPLASIA	912	917	tumor
y	2	es-S0004-06142009000400011-1.ann	T24	MORFOLOGIA_NEOPLASIA	1383	1406	tumor fibroso solitario
y	2	es-S0004-06142009000400011-1.ann	T27	MORFOLOGIA_NEOPLASIA	768	777	neoplasia
y	2	es-S0004-06142009000400011-1.ann	T32	MORFOLOGIA_NEOPLASIA	1594	1608	leiomiosarcoma
y	2	es-S0004-06142009000400011-1.ann	T38	MORFOLOGIA_NEOPLASIA	1383	1388	tumor
y	2	es-S0004-06142008000400016-1.ann	T2	MORFOLOGIA_NEOPLASIA	1796	1818	enfermedad metastásica
y	2	es-S0004-06142008000400016-1.ann	T5	MORFOLOGIA_NEOPLASIA	1512	1520	melanoma
y	2	es-S0004-06142008000400016-1.ann	T15	MORFOLOGIA_NEOPLASIA	119	128	carcinoma
y	2	es-S0004-06142008000400016-1.ann	T16	MORFOLOGIA_NEOPLASIA	2003	2011	melanoma
y	2	es-S0004-06142008000400016-1.ann	T17	MORFOLOGIA_NEOPLASIA	80	94	adenocarcinoma
y	2	es-S0004-06142008000400016-1.ann	T19	MORFOLOGIA_NEOPLASIA	1807	1818	metastásica
y	2	es-S0004-06142008000400016-1.ann	T28	MORFOLOGIA_NEOPLASIA	1735	1740	tumor
y	2	es-S0004-06142009000300014-4.ann	T1	MORFOLOGIA_NEOPLASIA	367	384	fibrohistiocitoma
y	2	es-S0004-06142009000300014-4.ann	T2	MORFOLOGIA_NEOPLASIA	1308	1343	fibrohistiocitoma pleomorfo maligno
y	2	es-S0004-06142009000300014-4.ann	T11	MORFOLOGIA_NEOPLASIA	340	347	sarcoma
y	2	es-S0004-06142009000300014-4.ann	T12	MORFOLOGIA_NEOPLASIA	367	402	fibrohistiocitoma maligno pleomorfo
y	2	es-S0004-06142009000300014-4.ann	T17	MORFOLOGIA_NEOPLASIA	1308	1325	fibrohistiocitoma
y	2	es-S0004-06142009000300014-4.ann	T18	MORFOLOGIA_NEOPLASIA	367	392	fibrohistiocitoma maligno
y	2	es-S0004-06142009000300014-1.ann	T1	MORFOLOGIA_NEOPLASIA	795	801	lipoma
y	2	es-S0004-06142009000300014-1.ann	T2	MORFOLOGIA_NEOPLASIA	652	658	lipoma
y	2	es-S0004-06142009000300014-1.ann	T5	MORFOLOGIA_NEOPLASIA	552	558	lipoma
y	2	es-S0004-06142009000300014-1.ann	T12	MORFOLOGIA_NEOPLASIA	1018	1024	lipoma
y	2	es-S0004-06142008000500015-1.ann	T2	MORFOLOGIA_NEOPLASIA	276	281	tumor
y	2	es-S0004-06142009000100014-1.ann	T2	MORFOLOGIA_NEOPLASIA	612	626	adenocarcinoma
y	2	es-S0004-06142009000100014-1.ann	T5	MORFOLOGIA_NEOPLASIA	156	170	adenocarcinoma
y	2	es-S0004-06142009000100014-1.ann	T14	MORFOLOGIA_NEOPLASIA	217	228	metastásica
y	2	es-S0004-06142009000100014-1.ann	T28	MORFOLOGIA_NEOPLASIA	736	746	metástasis
y	2	es-S0004-06142009000100014-1.ann	T32	MORFOLOGIA_NEOPLASIA	2565	2576	metastásica
y	2	es-S0004-06142009000900012-1.ann	T14	MORFOLOGIA_NEOPLASIA	419	424	tumor
y	2	es-S0004-06142009000900012-1.ann	T17	MORFOLOGIA_NEOPLASIA	2821	2832	liposarcoma
y	2	es-S0004-06142009000900012-1.ann	T20	MORFOLOGIA_NEOPLASIA	3678	3708	carcinoma papilar del tiroides
y	2	es-S0004-06142009000900012-1.ann	T24	MORFOLOGIA_NEOPLASIA	3362	3389	liposarcoma desdiferenciado
y	2	es-S0004-06142009000900012-1.ann	T26	MORFOLOGIA_NEOPLASIA	3299	3312	condrosarcoma
y	2	es-S0004-06142009000900012-1.ann	T27	MORFOLOGIA_NEOPLASIA	357	363	cáncer
y	2	es-S0004-06142009000900012-1.ann	T29	MORFOLOGIA_NEOPLASIA	3140	3167	liposarcoma desdiferenciado
y	2	es-S0004-06142009000900012-1.ann	T31	MORFOLOGIA_NEOPLASIA	3215	3244	liposarcoma bien diferenciado
y	2	es-S0004-06142009000900012-1.ann	T35	MORFOLOGIA_NEOPLASIA	3079	3092	condrosarcoma
y	2	es-S0004-06142009000900012-1.ann	T37	MORFOLOGIA_NEOPLASIA	2606	2623	neoplasia maligna
y	2	es-S0004-06142009000900012-1.ann	T46	MORFOLOGIA_NEOPLASIA	3140	3151	liposarcoma
y	2	es-S0004-06142009000900012-1.ann	T47	MORFOLOGIA_NEOPLASIA	3215	3226	liposarcoma
y	2	es-S0004-06142009000900012-1.ann	T48	MORFOLOGIA_NEOPLASIA	3362	3373	liposarcoma
y	2	es-S0004-06142009000900012-1.ann	T55	MORFOLOGIA_NEOPLASIA	2606	2615	neoplasia
y	2	es-S0004-06142009000900012-1.ann	T56	MORFOLOGIA_NEOPLASIA	3446	3451	tumor
y	2	es-S0004-06142009000800011-1.ann	T1	MORFOLOGIA_NEOPLASIA	1945	1959	leiomiosarcoma
y	2	es-S0004-06142009000800011-1.ann	T6	MORFOLOGIA_NEOPLASIA	600	628	tumor mesenquimático benigno
y	2	es-S0004-06142009000800011-1.ann	T8	MORFOLOGIA_NEOPLASIA	600	620	tumor mesenquimático
y	2	es-S0004-06142009000800011-1.ann	T13	MORFOLOGIA_NEOPLASIA	600	605	tumor
y	2	es-S0004-06142008000300011-1.ann	T3	MORFOLOGIA_NEOPLASIA	417	426	neoplasia
y	2	es-S0004-06142008000300011-1.ann	T8	MORFOLOGIA_NEOPLASIA	1431	1439	seminoma
y	2	es-S0004-06142008000300011-1.ann	T10	MORFOLOGIA_NEOPLASIA	1318	1349	Neoplasia germinal intratubular
y	2	es-S0004-06142008000300011-1.ann	T13	MORFOLOGIA_NEOPLASIA	1110	1126	seminoma clásico
y	2	es-S0004-06142008000300011-1.ann	T14	MORFOLOGIA_NEOPLASIA	34	36	SK
y	2	es-S0004-06142008000300011-1.ann	T24	MORFOLOGIA_NEOPLASIA	528	536	seminoma
y	2	es-S0004-06142008000100011-1.ann	T25	MORFOLOGIA_NEOPLASIA	427	434	adenoma
y	2	es-S0004-06142008000400013-1.ann	T2	MORFOLOGIA_NEOPLASIA	414	423	carcinoma
y	2	es-S0004-06142008000400013-1.ann	T10	MORFOLOGIA_NEOPLASIA	1444	1472	carcinoma de células renales
y	2	es-S0004-06142008000400013-1.ann	T13	MORFOLOGIA_NEOPLASIA	1353	1381	carcinoma de células renales
y	2	es-S0004-06142008000400013-1.ann	T14	MORFOLOGIA_NEOPLASIA	1339	1381	metástasis de carcinoma de células renales
y	2	es-S0004-06142008000400013-1.ann	T18	MORFOLOGIA_NEOPLASIA	1339	1362	metástasis de carcinoma
y	2	es-S0004-06142008000400013-1.ann	T23	MORFOLOGIA_NEOPLASIA	1078	1087	carcinoma
y	2	es-S0004-06142008000400013-1.ann	T31	MORFOLOGIA_NEOPLASIA	1353	1362	carcinoma
y	2	es-S0004-06142007000900012-1.ann	T1	MORFOLOGIA_NEOPLASIA	575	587	hipernefroma
y	2	es-S0004-06142007000900012-1.ann	T15	MORFOLOGIA_NEOPLASIA	249	261	neoformación
y	2	es-S0004-06142007000900012-1.ann	T16	MORFOLOGIA_NEOPLASIA	694	706	neoformación
y	2	es-S0004-06142007000900012-1.ann	T17	MORFOLOGIA_NEOPLASIA	971	983	neoformación
y	2	es-S0004-06142008000600014-1.ann	T10	MORFOLOGIA_NEOPLASIA	1888	1896	seminoma
y	2	es-S0004-06142008000600014-1.ann	T11	MORFOLOGIA_NEOPLASIA	1695	1734	carcinoma embrionario adulto y teratoma
y	2	es-S0004-06142008000600014-1.ann	T12	MORFOLOGIA_NEOPLASIA	1695	1723	carcinoma embrionario adulto
y	2	es-S0004-06142008000600014-1.ann	T13	MORFOLOGIA_NEOPLASIA	1636	1656	tumor germinal mixto
y	2	es-S0004-06142008000600014-1.ann	T14	MORFOLOGIA_NEOPLASIA	1378	1405	células malignas germinales
y	2	es-S0004-06142008000600014-1.ann	T24	MORFOLOGIA_NEOPLASIA	818	827	neoplasia
y	2	es-S0004-06142008000600014-1.ann	T29	MORFOLOGIA_NEOPLASIA	1695	1716	carcinoma embrionario
y	2	es-S0004-06142008000600014-1.ann	T30	MORFOLOGIA_NEOPLASIA	1636	1650	tumor germinal
y	2	es-S0004-06142008000600014-1.ann	T34	MORFOLOGIA_NEOPLASIA	1943	1952	neoplasia
y	2	es-S0004-06142008000300012-1.ann	T7	MORFOLOGIA_NEOPLASIA	2038	2044	lipoma
y	2	es-S0004-06142008000300012-1.ann	T10	MORFOLOGIA_NEOPLASIA	2029	2032	AML
y	2	es-S0004-06142008000300012-1.ann	T11	MORFOLOGIA_NEOPLASIA	2013	2027	angiomiolipoma
y	2	es-S0004-06142008000300012-1.ann	T19	MORFOLOGIA_NEOPLASIA	1539	1545	Lipoma
y	2	es-S0004-06142008000300012-1.ann	T31	MORFOLOGIA_NEOPLASIA	4415	4429	angiomiolipoma
y	2	es-S0004-06142008000300012-1.ann	T35	MORFOLOGIA_NEOPLASIA	3044	3050	Lipoma
y	2	es-S0004-06142008000300012-1.ann	T36	MORFOLOGIA_NEOPLASIA	3036	3039	AML
y	2	es-S0004-06142009000700011-1.ann	T2	MORFOLOGIA_NEOPLASIA	869	881	cistoadenoma
y	2	es-S0004-06142009000700011-1.ann	T7	MORFOLOGIA_NEOPLASIA	64	78	adenocarcinoma
y	2	es-S0004-06142008000600011-1.ann	T15	MORFOLOGIA_NEOPLASIA	1461	1473	neoformación
y	2	es-S0004-06142008000600011-1.ann	T17	MORFOLOGIA_NEOPLASIA	2651	2665	adenocarcinoma
y	2	es-S0004-06142008000400011-2.ann	T10	MORFOLOGIA_NEOPLASIA	112	121	carcinoma
y	2	es-S0004-06142008000400011-2.ann	T2	MORFOLOGIA_NEOPLASIA	360	365	tumor
y	10	es-S0376-78922012000400009-1.ann	T3	MORFOLOGIA_NEOPLASIA	615	622	tumores
y	10	es-S0365-66912012000700003-1.ann	T9	MORFOLOGIA_NEOPLASIA	23	32	neoplasia
y	10	es-S0365-66912012000700003-1.ann	T19	MORFOLOGIA_NEOPLASIA	46	56	metástasis
y	10	es-S0365-66912012000700003-1.ann	T20	MORFOLOGIA_NEOPLASIA	1740	1750	metástasis
y	10	es-S0365-66912012000300003-1.ann	T3	MORFOLOGIA_NEOPLASIA	1467	1488	sarcoma granulocítico
y	10	es-S0365-66912012000300003-1.ann	T14	MORFOLOGIA_NEOPLASIA	1467	1474	sarcoma
y	10	es-S0376-78922012000300010-1.ann	T2	MORFOLOGIA_NEOPLASIA	1817	1827	schwannoma
y	10	es-S0376-78922012000300010-1.ann	T4	MORFOLOGIA_NEOPLASIA	627	632	tumor
y	10	es-S0376-78922012000300010-1.ann	T9	MORFOLOGIA_NEOPLASIA	1487	1492	tumor
y	10	es-S0376-78922012000300010-1.ann	T10	MORFOLOGIA_NEOPLASIA	1487	1500	tumor benigno
y	10	es-S0376-78922009000100011-1.ann	T3	MORFOLOGIA_NEOPLASIA	3790	3813	metástasis de carcinoma
y	10	es-S0376-78922009000100011-1.ann	T11	MORFOLOGIA_NEOPLASIA	760	779	carcinoma verrugoso
y	10	es-S0376-78922009000100011-1.ann	T13	MORFOLOGIA_NEOPLASIA	398	405	sarcoma
y	10	es-S0376-78922009000100011-1.ann	T28	MORFOLOGIA_NEOPLASIA	2857	2868	metastásica
y	10	es-S0376-78922009000100011-1.ann	T29	MORFOLOGIA_NEOPLASIA	3790	3800	metástasis
y	10	es-S0376-78922009000100011-1.ann	T30	MORFOLOGIA_NEOPLASIA	4566	4576	metástasis
y	10	es-S0376-78922009000100011-1.ann	T31	MORFOLOGIA_NEOPLASIA	760	769	carcinoma
y	10	es-S0376-78922009000100011-1.ann	T32	MORFOLOGIA_NEOPLASIA	3804	3813	carcinoma
y	10	es-S0376-78922009000100011-1.ann	T33	MORFOLOGIA_NEOPLASIA	5933	5938	tumor
y	10	es-S0365-66912012001100004-1.ann	T3	MORFOLOGIA_NEOPLASIA	516	527	hemangiomas
y	10	es-S0365-66912012001100004-1.ann	T7	MORFOLOGIA_NEOPLASIA	121	142	hemangiomas capilares
